idx,feature,value,lab,favorite_pred,retweet_pred,favorite_count,retweet_count,favorite_sign,retweet_sign,favorite_shap_value,retweet_shap_value,text
3,hour_y2,1,"2nd Order Cos Term, Hour",31.50327602946878,2.0670946876681695,22,2,neutral,neg,0,-0.020844340324401855,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,wday_x1,0.4999999999999999,"1st Order Sin Term, Weekday",31.50327602946878,2.0670946876681695,22,2,neg,pos,-0.01311598438769579,0.035052940249443054,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,wday_x2,0.4999999999999998,"2nd Order Sin Term, Weekday",31.50327602946878,2.0670946876681695,22,2,pos,pos,0.0029261389281600714,0.05217434838414192,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,wday_y1,1,"1st Order Cos Term, Weekday",31.50327602946878,2.0670946876681695,22,2,neg,neg,-0.0040661366656422615,-0.018807418644428253,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,wday_y2,0.4999999999999998,"2nd Order Cos Term, Weekday",31.50327602946878,2.0670946876681695,22,2,neutral,neg,0,-6.310137687250972e-4,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,xg_a,0.0483005366726297,"xG, Away",31.50327602946878,2.0670946876681695,22,2,neg,pos,-0.05361682176589966,0.006914409343153238,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,xg_h,0.2588597842835131,"xG, Home",31.50327602946878,2.0670946876681695,22,2,neg,neg,-0.16794398427009583,-0.20995068550109863,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
4,estimated_followers_count,0.04845111547059629,xGPhilopher's # of Followers,72.167289126375,1.4733884288886956,27,1,neg,neg,-2.9305272102355957,-2.3699162006378174,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,estimated_followers_count_a,0.05809933687581769,"Twitter Account Followers, Away",72.167289126375,1.4733884288886956,27,1,neg,neg,-0.02071428671479225,-0.4014095962047577,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,estimated_followers_count_h,0.44992785176366706,"Twitter Account Followers, Home",72.167289126375,1.4733884288886956,27,1,pos,pos,0.3982795476913452,0.32775917649269104,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,g_a,0.25,"Goals, Away",72.167289126375,1.4733884288886956,27,1,pos,neg,0.01259535364806652,-0.11197913438081741,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,g_h,0.3,"Goals, Home",72.167289126375,1.4733884288886956,27,1,pos,pos,0.2537003457546234,0.16717597842216492,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,hour_x1,0,"1st Order Sin Term, Hour",72.167289126375,1.4733884288886956,27,1,neg,neg,-0.04033873230218887,-0.1343928724527359,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,hour_x2,0.5000000000000002,"2nd Order Sin Term, Hour",72.167289126375,1.4733884288886956,27,1,neg,neg,-0.016811976209282875,-0.08715415000915527,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,hour_y1,0.5086661900604995,"1st Order Cos Term, Hour",72.167289126375,1.4733884288886956,27,1,neg,pos,-5.310073611326516e-4,0.002046423964202404,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,hour_y2,0.5000000000000002,"2nd Order Cos Term, Hour",72.167289126375,1.4733884288886956,27,1,neutral,neg,0,-0.01193784736096859,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,wday_x1,0.9009688679024191,"1st Order Sin Term, Weekday",72.167289126375,1.4733884288886956,27,1,pos,neg,0.015076994895935059,-0.026433341205120087,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,wday_x2,1,"2nd Order Sin Term, Weekday",72.167289126375,1.4733884288886956,27,1,pos,neg,0.006150196306407452,-0.02709507755935192,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,wday_y1,0.8019377358048384,"1st Order Cos Term, Weekday",72.167289126375,1.4733884288886956,27,1,pos,pos,0.013366675935685635,0.04018405079841614,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,wday_y2,1,"2nd Order Cos Term, Weekday",72.167289126375,1.4733884288886956,27,1,neutral,pos,0,0.0016954791499301791,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,xg_a,0.3810375670840787,"xG, Away",72.167289126375,1.4733884288886956,27,1,pos,pos,0.18068371713161469,0.16225844621658325,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
4,xg_h,0.2049306625577812,"xG, Home",72.167289126375,1.4733884288886956,27,1,neg,neg,-0.05782685801386833,-0.08391072601079941,Arsenal (1.35) 3-2 (2.13) Everton ⭐️
5,estimated_followers_count,0.04928372644737442,xGPhilopher's # of Followers,45.769723649315345,2.9866703573573807,25,3,neg,neg,-3.006101131439209,-2.2617030143737793,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,estimated_followers_count_a,0.042049192733139534,"Twitter Account Followers, Away",45.769723649315345,2.9866703573573807,25,3,neg,neg,-0.06762298196554184,-0.19885358214378357,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,estimated_followers_count_h,0.43545939704160375,"Twitter Account Followers, Home",45.769723649315345,2.9866703573573807,25,3,pos,pos,0.22624899446964264,0.2802179455757141,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,g_a,0.25,"Goals, Away",45.769723649315345,2.9866703573573807,25,3,pos,pos,0.024677982553839684,0.03442610055208206,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,g_h,0.3,"Goals, Home",45.769723649315345,2.9866703573573807,25,3,pos,pos,0.09965813159942627,0.05609119310975075,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,hour_x1,0.2679491924311224,"1st Order Sin Term, Hour",45.769723649315345,2.9866703573573807,25,3,pos,pos,0.055794600397348404,0.06989934295415878,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,hour_x2,0.06698729810778042,"2nd Order Sin Term, Hour",45.769723649315345,2.9866703573573807,25,3,pos,pos,0.022332344204187393,0.08168969303369522,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,hour_y1,0.9491840326991358,"1st Order Cos Term, Hour",45.769723649315345,2.9866703573573807,25,3,neg,neg,-0.017110610380768776,-0.0561818890273571,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,hour_y2,0.06698729810778042,"2nd Order Cos Term, Hour",45.769723649315345,2.9866703573573807,25,3,neutral,neg,0,-0.022458607330918312,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,wday_x1,1,"1st Order Sin Term, Weekday",45.769723649315345,2.9866703573573807,25,3,pos,pos,0.024550193920731544,0.014555282890796661,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,wday_x2,0.2774790660436856,"2nd Order Sin Term, Weekday",45.769723649315345,2.9866703573573807,25,3,pos,pos,0.027864743024110794,0.07175532728433609,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,wday_y1,0.3568958678922095,"1st Order Cos Term, Weekday",45.769723649315345,2.9866703573573807,25,3,pos,pos,2.315003948751837e-4,0.013304652646183968,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,wday_y2,0.2774790660436856,"2nd Order Cos Term, Weekday",45.769723649315345,2.9866703573573807,25,3,neutral,neg,0,-6.161181954666972e-4,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,xg_a,0.12164579606440072,"xG, Away",45.769723649315345,2.9866703573573807,25,3,neg,neg,-0.06418979912996292,-0.0756615400314331,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
5,xg_h,0.3636363636363636,"xG, Home",45.769723649315345,2.9866703573573807,25,3,pos,neg,0.039260003715753555,-0.08220716565847397,⭐️ Liverpool (2.38) 3-2 (0.68) West Ham
6,estimated_followers_count,0.05345818696108399,xGPhilopher's # of Followers,53.18760241891745,6.608083365017932,25,4,neg,neg,-2.64711594581604,-1.9603301286697388,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,estimated_followers_count_a,0.2389724831183497,"Twitter Account Followers, Away",53.18760241891745,6.608083365017932,25,4,pos,pos,0.08797743171453476,0.25356924533843994,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,estimated_followers_count_h,0.9626477627021569,"Twitter Account Followers, Home",53.18760241891745,6.608083365017932,25,4,neg,pos,-0.07953836023807526,0.08333060890436172,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,g_a,0.25,"Goals, Away",53.18760241891745,6.608083365017932,25,4,neg,neg,-0.0507974810898304,-0.003610331565141678,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,g_h,0.1,"Goals, Home",53.18760241891745,6.608083365017932,25,4,neg,neg,-0.10024385154247284,-0.10719164460897446,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,hour_x1,1,"1st Order Sin Term, Hour",53.18760241891745,6.608083365017932,25,4,pos,pos,0.0682070180773735,0.059179745614528656,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,hour_x2,0.06698729810778081,"2nd Order Sin Term, Hour",53.18760241891745,6.608083365017932,25,4,pos,pos,0.025823645293712616,0.027529636397957802,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,hour_y1,0.2543330950302499,"1st Order Cos Term, Hour",53.18760241891745,6.608083365017932,25,4,neg,neg,-0.01563873700797558,-0.004100106190890074,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,hour_y2,0.06698729810778081,"2nd Order Cos Term, Hour",53.18760241891745,6.608083365017932,25,4,neutral,neg,0,-0.013287193141877651,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,wday_x1,0,"1st Order Sin Term, Weekday",53.18760241891745,6.608083365017932,25,4,neg,neg,-0.017152851447463036,-0.15673978626728058,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,wday_x2,0.7225209339563147,"2nd Order Sin Term, Weekday",53.18760241891745,6.608083365017932,25,4,neg,neg,-0.011393923312425613,-0.020069638267159462,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,wday_y1,0.3568958678922094,"1st Order Cos Term, Weekday",53.18760241891745,6.608083365017932,25,4,neg,neg,-0.009849346242845058,-0.005039137788116932,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,wday_y2,0.7225209339563147,"2nd Order Cos Term, Weekday",53.18760241891745,6.608083365017932,25,4,neutral,neg,0,-4.4536820496432483e-4,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,xg_a,0.5670840787119857,"xG, Away",53.18760241891745,6.608083365017932,25,4,pos,pos,0.3666216731071472,0.434159517288208,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
6,xg_h,0.17257318952234205,"xG, Home",53.18760241891745,6.608083365017932,25,4,neg,neg,-0.10408545285463333,-0.01644437201321125,Real Madrid (1.14) 1-2 (3.17) Man City ⭐️
7,estimated_followers_count,0.05430220356768101,xGPhilopher's # of Followers,21.364029071546085,3.8516385674452156,44,6,neg,neg,-2.9080746173858643,-1.693434715270996,Lyon (1.07) 1-0 (1.09) Juventus ⭐️
7,estimated_followers_count_a,0.23008601558474395,"Twitter Account Followers, Away",21.364029071546085,3.8516385674452156,44,6,pos,pos,0.1724681258201599,0.2711939215660095,Lyon (1.07) 1-0 (1.09) Juventus ⭐️
7,estimated_followers_count_h,0.04636625574146349,"Twitter Account Followers, Home",21.364029071546085,3.8516385674452156,44,6,neg,neg,-0.28409436345100403,-0.3070533275604248,Lyon (1.07) 1-0 (1.09) Juventus ⭐️
7,g_a,0,"Goals, Away",21.364029071546085,3.8516385674452156,44,6,neg,pos,-0.027597306296229362,0.05490264296531677,Lyon (1.07) 1-0 (1.09) Juventus ⭐️
